"schema","uuid","id","gmd:title","gmd:abstract","link_download","gmd:URL"
"iso19139","aa9603b0-9795-433f-94eb-5b45b7c25512","587007","SAV 2006","This is a MD iMAP hosted service. Find more information on http://imap.maryland.gov . This map service provides data on vegetative surface cover and submerged aquatic vegetation (SAV) for the Chesapeake Bay and Chincoteague Bay areas (1984-2012). There is no SAV data for 1988. The link to the most recent Submerged Aquatic Vegetation data on MD iMap is http://geodata.md.gov/imap/rest/services/Biota/MD_SubmergedAquaticVegetation/MapServer Map Service Link: http://archive.geodata.md.gov/imap/rest/services/Biota/MD_ArchivedSubmergedAquaticVegetation/MapServer","http://data.imap.maryland.gov/datasets/3642c1dde07e46c194567239d929cd3c_6.zip","http://data.imap.maryland.gov/datasets/3642c1dde07e46c194567239d929cd3c_6.zip###https://archive.geodata.md.gov/imap/rest/services/Biota/MD_ArchivedSubmergedAquaticVegetation/MapServer/6###http://data.imap.maryland.gov/datasets/3642c1dde07e46c194567239d929cd3c_6",
"iso19139","78bceb73-ef5a-4eae-8aa6-b750ff64f112","587008","Mobile Wireless Provider Coverage","This is a MD iMAP hosted service. Find more information at http://imap.maryland.gov . This service depicts broadband provider coverage areas in Maryland and the service represents the National Telecommunications Information Administration (NTIA) State Broadband Data Development Program (SBDD) area of broadband availability. Area of broadband availability refers to those individual US Census Blocks, less than 2 square miles, where each facilities-based provider of broadband service can provide broadband services of minimal characteristics within 7 - 10 business days. For each area (e.g. census block less than 2 square miles) the provider name and technology they provide there are represented. In addition, advertised and typical upload and download speeds are often reported at these levels. If a provider offers availability to any location within a census block less than 2 square miles, the entire block is deemed available under this effort. For this purpose, 'broadband service' is the provision, on either a commercial or non-commercial basis, of data transmission technology that provides two-way data transmission to and from the Internet with advertised speeds of at least 768 kilobits per second (kbps) downstream and greater than 200 kbps upstream to end users, or providing sufficient capacity in a middle mile project to support the provision of broadband service to end-users within the project area. For this purpose, an 'end user' of broadband service is a residential or business party, institution or State or local government entity that may use broadband service for its own purposes and that does not resell such service to other entities or incorporate such service into retail Internet-access services. Internet Service Providers (ISPs) are not 'end users' for this purpose. An entity is a 'facilities based' provider of broadband service connections to end user locations if any of the following conditions are met: (1) It owns the portion of the physical facility that terminates at the end user location; (2) it obtains unbundled network elements (UNEs), special access lines, or other leased facilities that terminate at the end user location and provisions/equips them as broadband; or (3) it provisions/equips a broadband wireless channel to the end user location over licensed or unlicensed spectrum. For this purpose, 'broadband service' is 'available' at an address if the provider does, or could, within a typical service interval (7 to 10 business days) without an extraordinary commitment of resources, provision two-way data transmission to and from the Internet with advertised speeds of at least 768 kilobits per second (kbps) downstream and greater than 200 kbps upstream to end-users at that address. For additional information visit NOFA (Notice of Funding Availability) website: http://www.ntia.doc.gov/broadbandgrants/nofa.html Last Updated: 10/2014 Map Service Link: http://geodata.md.gov/imap/rest/services/UtilityTelecom/MD_BroadbandServiceAreas/MapServer","http://data.imap.maryland.gov/datasets/febc50d8e92c41e789f8a0b9978c4c38_5.zip","http://data.imap.maryland.gov/datasets/febc50d8e92c41e789f8a0b9978c4c38_5.zip###http://geodata.md.gov/imap/rest/services/UtilityTelecom/MD_BroadbandServiceAreas/MapServer/5###http://data.imap.maryland.gov/datasets/febc50d8e92c41e789f8a0b9978c4c38_5",
"iso19139","543ee637-85ee-4236-8b17-1fb02a9bc196","587010","Maryland Finfish - Herring Spawning Habitat","This is a MD iMAP hosted service. Find more information at http://imap.maryland.gov . These datasets exist in raster and vector formats. The vector format was created from the SHA Shoreline file and graphic representations in the Lippson book (See bibliography below). These areas were then overlane with a point file created from lat/long collected during the surveys conducted by O'dell, Mowrer, and Uphoff of MD DNR Fisheries Service. This was done to verify that the graphic representations were accurate. These data sets were then converted to raster format and reclassified with a rank determined by DNR biologists. This rank determines level of habitat importance with spawning areas ranking highest and adult areas of bay depth below 3 feet ranking the lowest. These ranked rasters were then stacked and an output raster was created showing areas of high habitat diversity. These rasters were then clipped by county. Lippson, Alice Jane.\\"the Chesapeake Bay in Maryland. an atlas of natural resources.\\" the Johns Hopkins University Press. Baltimore and London, 1973. Last Updated: 05/2014 Feature Service Link: http://geodata.md.gov/imap/rest/services/Biota/MD_Finfish/FeatureServer/0","http://data.imap.maryland.gov/datasets/19fc394d5d4e4ffb903a9b8fadfd14ca_0.zip","http://data.imap.maryland.gov/datasets/19fc394d5d4e4ffb903a9b8fadfd14ca_0.zip###http://geodata.md.gov/imap/rest/services/Biota/MD_Finfish/FeatureServer/0###http://data.imap.maryland.gov/datasets/19fc394d5d4e4ffb903a9b8fadfd14ca_0",
"iso19139","a07571fd-824e-4f4a-838f-bdef78d75299","587016","Shoreline Bank Height and Condition","This is a MD iMAP hosted service. Find more information at http://imap.maryland.gov . Shoreline Situation Reports (SSR) is intended to assist planners, managers, and regulators in decisions pertaining to management of coastal areas and natural resources therein. Data collected describes conditions in the immediate riparian zone, the bank, and along the shore. Map Service Link: http://geodata.md.gov/imap/rest/services/Hydrology/MD_ShorelineInventory/MapServer","http://data.imap.maryland.gov/datasets/69b4a0f2937641c7a09c66287a645738_7.zip","http://data.imap.maryland.gov/datasets/69b4a0f2937641c7a09c66287a645738_7.zip###http://geodata.md.gov/imap/rest/services/Hydrology/MD_ShorelineInventory/MapServer/7###http://data.imap.maryland.gov/datasets/69b4a0f2937641c7a09c66287a645738_7",
"iso19139","e143d789-a02d-42ed-a41f-7eb35a6c1a68","587013","EARN Partners 2014 - Cyber Security","This is a MD iMAP hosted service. Find more information at http://imap.maryland.gov . This layer contains EARN Maryland Program - Maryland's new workforce training initiative - grant partners and recipients by target industry. The EARN program is administered by the Maryland Department of Labor, Licensing and Regulation. Last Updated: 06/2014 Map Service Link: http://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_EARNPartners2014/MapServer","http://data.imap.maryland.gov/datasets/6ff8c5e9860d43adad62f1d830327af3_3.zip","http://data.imap.maryland.gov/datasets/6ff8c5e9860d43adad62f1d830327af3_3.zip###http://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_EARNPartners2014/MapServer/3###http://data.imap.maryland.gov/datasets/6ff8c5e9860d43adad62f1d830327af3_3",
"iso19139","84cc9fe4-42ec-447d-8c95-8c9242bd8d82","587014","EARN Partners 2014 - Construction","This is a MD iMAP hosted service. Find more information at http://imap.maryland.gov . This layer contains EARN Maryland Program - Maryland's new workforce training initiative - grant partners and recipients by target industry. The EARN program is administered by the Maryland Department of Labor, Licensing and Regulation. Last Updated: 06/2014 Map Service Link: http://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_EARNPartners2014/MapServer","http://data.imap.maryland.gov/datasets/6ff8c5e9860d43adad62f1d830327af3_2.zip","http://data.imap.maryland.gov/datasets/6ff8c5e9860d43adad62f1d830327af3_2.zip###http://geodata.md.gov/imap/rest/services/BusinessEconomy/MD_EARNPartners2014/MapServer/2###http://data.imap.maryland.gov/datasets/6ff8c5e9860d43adad62f1d830327af3_2",
"iso19139","215eb009-69f7-4032-88fa-91a3608cf753","587015","Phragmites","This is a MD iMAP hosted service. Find more information at http://imap.maryland.gov . Shoreline Situation Reports (SSR) is intended to assist planners, managers, and regulators in decisions pertaining to management of coastal areas and natural resources therein. Data collected describes conditions in the immediate riparian zone, the bank, and along the shore. Map Service Link: http://geodata.md.gov/imap/rest/services/Hydrology/MD_ShorelineInventory/MapServer","http://data.imap.maryland.gov/datasets/69b4a0f2937641c7a09c66287a645738_3.zip","http://data.imap.maryland.gov/datasets/69b4a0f2937641c7a09c66287a645738_3.zip###http://geodata.md.gov/imap/rest/services/Hydrology/MD_ShorelineInventory/MapServer/3###http://data.imap.maryland.gov/datasets/69b4a0f2937641c7a09c66287a645738_3",
"iso19139","ee2abb9e-7720-4e48-8c9a-21f22762cafd","587011","Chesapeake Bay Bottom Survey","This is a MD iMAP hosted service. Find more information on http://imap.maryland.gov . This map service contains an inventory of the Chesapeake Bay bottom sediments that affect the distribution of toxic substances and a classification of the bottom sediment in Maryland's Coastal Zone off the coast of Ocean City and Assateague Island. Map Service Link: http://geodata.md.gov/imap/rest/services/Geoscientific/MD_Soils/MapServer","http://data.imap.maryland.gov/datasets/bb5698aa5ea94438b2a72b5179470149_11.zip","http://data.imap.maryland.gov/datasets/bb5698aa5ea94438b2a72b5179470149_11.zip###http://geodata.md.gov/imap/rest/services/Geoscientific/MD_Soils/MapServer/11###http://data.imap.maryland.gov/datasets/bb5698aa5ea94438b2a72b5179470149_11",
"iso19139","29281d6e-c0f0-4799-b63d-535faf86808f","587009","Coastal Bays Shorebirds","This is a MD iMAP hosted service. Find more information at http://imap.maryland.gov . A composition of layers pertaining to habitat establishments and diversity for select species throughout Maryland's Chesapeake and Coastal Bays. Map Service Link: http://geodata.md.gov/imap/rest/services/Biota/MD_LivingResources/MapServer","http://data.imap.maryland.gov/datasets/584a31b420bb4373bf3b5d9aefc134f7_9.zip","http://data.imap.maryland.gov/datasets/584a31b420bb4373bf3b5d9aefc134f7_9.zip###http://geodata.md.gov/imap/rest/services/Biota/MD_LivingResources/MapServer/9###http://data.imap.maryland.gov/datasets/584a31b420bb4373bf3b5d9aefc134f7_9",
"iso19139","52635812-57be-40a4-9fd4-d40a46677d3e","587023","Sport Venues - Cycling","This is a MD iMAP hosted service. Find more information at http://imap.maryland.gov . Maryland Sports ( http://www.marylandsports.us/ ) has identified sport venues located within the State of Maryland. These venues offer opportunities to participate in free and fee-based, organized and pick-up, indoor and outdoor sports and physical fitness related activities in the areas of Archery, Auto Racing, Badminton, Baseball, Basketball, Beach Volleyball, BMX, Boating, Bowling, Boxing, Broomball, Cheer/Dance, Cricket, Cross Country, Cross Country Skiing, Curling, Cycling, Disc Golf, Diving, Dodge Ball, Equestrian, Extreme Sports, Fencing, Field Hockey, Fishing, Flag Football, Football, Futsal, Golf, Gymnastics, Horse Racing, Hunting, Ice Hockey, Ice Skating, Indoor Sports, Indoor Track, Judo, Karate, Kayaking, Kickball, Lacrosse, Martial Arts, Motorsports, Mountain Biking, Orienteering, Paintball, Polo, Racquetball, Rafting, Rock Climbing, Rodeo, Roller Sports, Rowing/Crew, Rugby, Running Sports, Sailing, Shooting, Skateboarding, Skiing, Snowboarding, Soccer, Softball, Speed Skating, Squash, Swimming, Synchronized Swimming, Table Sports, Taw Kwan Doe, Team Handball, Tennis, Track & Field, Triathlon, Ultimate Frisbee, Volleyball, Water Polo, Water Sports, Weightlifting and Wrestling. Maryland Sports is supported by the Maryland Stadium Authority and the Maryland Department of Business and Economic Development (DBED). Last Updated: 08/2014 Map Service Link: http://geodata.md.gov/imap/rest/services/Society/MD_SportVenues/MapServer","http://data.imap.maryland.gov/datasets/74a7ef2281bc4bb6b3105f7de2a96bd4_16.zip","http://data.imap.maryland.gov/datasets/74a7ef2281bc4bb6b3105f7de2a96bd4_16.zip###http://geodata.md.gov/imap/rest/services/Society/MD_SportVenues/MapServer/16###http://data.imap.maryland.gov/datasets/74a7ef2281bc4bb6b3105f7de2a96bd4_16",
