"schema"|"uuid"|"id"|"gmd:title"|"gmd:abstract"|"link_download"|"link_service_esri"|"link_information"|"link_service_wms"|"link_no_protocol"
"iso19139"|"18617df7-c503-4ef9-b9af-e980ef61b10c"|"464203"|"Census Block Groups: Indiana, 2011"|"CENSUS_BLOCKGROUPS_TIGER2011_IN.SHP is a polygon shapefile that contains 2011 census block group boundaries for the state of Indiana. Census block groups are not legal boundaries, but are considered stable geographic units used for the presentation of decennial census data. The following is excerpted from an Adobe Acrobat PDF document named \"TGRSHP2011_TECHDOC.PDF (U.S. Census Bureau): \"Block groups are clusters of blocks within the same census tract that have the same first digit of their 4-digit census block number. For example, blocks 3001, 3002, 3003, …., 3999 in census tract 1210.02 belong to Block Group 3. As with block groups delineated for Census 2000, block groups delineated for 5-38 the 2010 Census generally contain between 600 and 3,000 people. Most block groups were delineated by local participants in the Census Bureau\'s Participant Statistical Areas Program. The Census Bureau delineated block groups only where a local or tribal government declined to participate or where the Census Bureau could not identify a potential local participant. \"A block group usually covers a contiguous area. Each census tract contains at least one block group and block groups are uniquely numbered within census tract. Within the standard census geographic hierarchy, block groups never cross county or census tract boundaries, but may cross the boundaries of county subdivisions, places, urban areas, voting districts, congressional districts, and American Indian, Alaska Native, and Native Hawaiian areas. \"Block groups have a valid range of 0 through 9. Block groups beginning with a 0 generally are in coastal and Great Lakes water and territorial seas. Rather than extending a census tract boundary into the Great Lakes or out to the three-mile territorial sea limit, the Census Bureau delineated some census trac boundaries along the shoreline or just offshore. The Census Bureau assigned a default census tract number of 0 and block group of 0 to the offshore areas not included in regularly numbered census tract areas. Because of updates since 2000, there are 0 block groups that now contain land.\""|"http://maps.indiana.edu/download/Demographics/Census_Blockgroups_2011.zip"|"http://maps.indiana.edu/arcgis/rest/services/Demographics/Census_Blockgroups_2011/MapServer/0"|"http://maps.indiana.edu/layerGallery.html?category=Census"|""|""|
"iso19139"|"a0153797-9610-4325-9369-5a17b382b5e7"|"464204"|"Census Blocks: Indiana, 2011"|"CENSUS_TRACTS_TIGER2011_IN.SHP is a polygon shapefile that contains 2011 census block boundaries for the state of Indiana. Census blocks are not legal boundaries, but are considered stable geographic units used for the presentation of decennial census data. The following is excerpted from an Adobe Acrobat PDF document named \"TGRSHP2011_TECHDOC.PDF (U.S. Census Bureau): \"Census Blocks are statistical areas bounded on all sides by visible features, such as streets, roads, streams, and railroad tracks, and by non-visible boundaries such as city, town, township, and county limits, and short line-of-sight extensions of streets and roads. Generally, census blocks are small in area; for example, a block in a city. Census blocks in suburban and rural areas may be large, irregular, and bounded by a variety of features, such as roads, streams, and/or transmission line rights-of-way. In remote areas census blocks may encompass hundreds of square miles. Census blocks cover all territory in the United States, Puerto Rico, and the Island areas. A block may consist of one or more faces. \"Blocks never cross county or census tract boundaries (See Figures 3 and 4). They do not cross the boundaries of any entity for which the Census Bureau tabulates data, including American Indian, Alaska Native, and Native Hawaiian areas, congressional districts, county subdivisions, places, state legislative districts, urbanized areas, urban clusters, school districts, voting districts, or ZIP Code Tabulation Areas (ZCTAs) or some special administrative areas such as military installations, and national parks and monuments. \"Census 2010 blocks are numbered uniquely within the 2010 boundaries of each state/county/census tract with a 4-digit census block number. The first digit of the tabulation block number identifies the block group.\""|"http://maps.indiana.edu/download/Demographics/Census_Blocks_2011.zip"|"http://maps.indiana.edu/arcgis/rest/services/Demographics/Census_Blocks_2011/MapServer/0"|"http://maps.indiana.edu/layerGallery.html?category=Census"|""|""|
"iso19139"|"c5efc187-7cdd-400d-a6a5-efbec26e4be0"|"74822"|"Soils: Macomb County, Michigan"|"This data set is a digital soil survey developed by the Natural Resource Conservation Service."|"http://maps.semcog.opendata.arcgis.com/datasets/c43d96304ce64a57bc1185eb268ce546_1.zip"|""|"http://arcgisserver.semcog.org/arcgis/rest/services/OpenData/Soils/MapServer/1###http://maps.semcog.opendata.arcgis.com/datasets/c43d96304ce64a57bc1185eb268ce546_1"|"http://arcgisserver.semcog.org/arcgis/services/OpenData/Soils/MapServer/WMSServer"|""|
"iso19139"|"470200c9-2455-4ed9-8962-f20ac3bf8b72"|"74821"|"Minor Civil Divisions (MCDs): Southeast Michigan"|"Minor Civil Divisions (MCDs): Communities (cities, villages, and townships) extracted from version 15 of the Michigan Geographic Framework, but modified by SEMCOG to extend only to the regions shoreline."|"http://maps.semcog.opendata.arcgis.com/datasets/ec5d2ba6f6fa4c31a5fdcf2f73c0af73_0.zip"|"http://arcgisserver.semcog.org/arcgis/rest/services/OpenData/CommunityBoundary/MapServer/0"|"http://maps.semcog.opendata.arcgis.com/datasets/ec5d2ba6f6fa4c31a5fdcf2f73c0af73_0"|"http://arcgisserver.semcog.org/arcgis/services/OpenData/CommunityBoundary/MapServer/WMSServer"|""|
"iso19139"|"29723057-4a21-4de1-8f7e-eb973a4cda82"|"74820"|"Pavement Condition, Southeast Michigan, 2015"|"The road condition data is collected annually from late Spring to late Fall using RoadSoft. The data is exported from RoadSoft, migrated to the MGF, then joined to historical data for the region. Visit our interactive Traffic Volume map on our Map Gallery webpage - http://www.semcog.org/Data-and-Maps/Map-Gallery."|"http://maps.semcog.opendata.arcgis.com/datasets/cc04b21f8bf545259dd97bfdef3d1f0c_0.zip"|""|"http://maps.semcog.opendata.arcgis.com/datasets/cc04b21f8bf545259dd97bfdef3d1f0c_0"|"http://arcgisserver.semcog.org/arcgis/services/OpenData/PavementCondition/MapServer/WMSServer"|""|
"iso19139"|"582d75f4-b386-4679-b44d-0da1cf012750"|"74819"|"Neighborhoods: Detroit, Michigan"|"Detroit Neighborhoods"|"http://maps.semcog.opendata.arcgis.com/datasets/a0777b66cc534a36b497c2c74e5b6b35_0.zip"|"http://arcgisserver.semcog.org/arcgis/rest/services/OpenData/DetroitNeighborhoods/MapServer/0/"|"http://maps.semcog.opendata.arcgis.com/datasets/a0777b66cc534a36b497c2c74e5b6b35_0"|"http://arcgisserver.semcog.org/arcgis/services/OpenData/DetroitNeighborhoods/MapServer/WMSServer"|""|
"iso19139"|"934fbf94-835b-4d51-8486-6f7e796be0d1"|"74818"|"Traffic Volume, Southeast Michigan, 2015"|"SEMCOG Annual Average Daily Traffic (AADT) for each federal-aid eligible road. AADT values are derived from traffic counts and may be observed, interpolated or default values."|"http://maps.semcog.opendata.arcgis.com/datasets/73aea1d50a6944c099ac955beea8f31e_0.zip"|""|"http://maps.semcog.opendata.arcgis.com/datasets/73aea1d50a6944c099ac955beea8f31e_0"|"http://arcgisserver.semcog.org/arcgis/services/OpenData/TrafficVolume/MapServer/WMSServer"|""|
"iso19139"|"20AB66D3-E916-4551-91E2-ADD1D96D206D"|"15278"|"Ecological Landscapes: Wisconsin, 2003"|"Ecological Landscapes of Wisconsin are aggregations of NHFEU (National Hierarchical Framework of Ecological Units) subsections that have been assigned descriptive names. The Ecological Landscapes of Wisconsin are represented on a May, 1999 map prepared under the direction of the DNR Division of Land Ecosystem Management Planning Team."|""|""|""|""|""|
"iso19139"|"AEF25AED-0699-4B4D-9232-4BF9F86167A3"|"15279"|"Fire Occurence: Wisconsin, 1982-2008"|"The approximate location of each fire recorded in DNR fire reports during the years 1982 through 2008."|"https://gisdata.wisc.edu/public/WI_FireOccurance_2008.zip"|""|""|""|""|
"iso19139"|"d9100858-8aca-427a-88df-f8abca21d2ed"|"172041"|"Children, Ages 5 to 17, from Families in Poverty: Indiana, 2013"|"CHILDREN_POVERTY_2013_USCB_IN.SHP is a polygon shapefile showing 2013 census data showing percentages of children in poverty for each 2013-2014 school district within Indiana. Poverty data were provided by personnel of the Indiana Business Research Center (Rachel Strange, Geodemographic Analyst, Managing Editor, IBRC), which were obtained from the Web page of the U. S. Department of Commerce, U. S. Census Bureau, titled \"Small Area Income and Poverty Estimates,\" . Discussion of these data, which are estimates produced under the Census Bureau\'s Small Area Income and Poverty Estimates (SAIPE) program, are provided at . The following is excerpted from metata of the U.S. Census Bureau (2013-2014 School Districts) and also from the Web page of the SAIPE program ( http://www.census.gov/did/www/saipe/downloads/sd13/README.txt ) : \"School Districts are single-purpose administrative units within which local officials provide public educational services for the area\'s residents. The Census Bureau obtains school district boundaries, names, local education agency codes, grade ranges, and school district levels biennially from state school officials. The Census Bureau collects this information for the primary purpose of providing the U.S. Department of Education with annual estimates of the number of children in poverty within each school district, county, and state. This information serves as the basis for the Department of Education to determine the annual allocation of Title I funding to states and school districts. \"The 2014 TIGER/Line Shapefiles include separate shapefiles for elementary, secondary, and unified school districts. The 2014 shapefiles contain information from the 2013-2014 school year. The 2013-2014 school districts represent districts in operation as of January 1, 2014. \"The elementary school districts provide education to the lower grade/age levels and the secondary school districts provide education to the upper grade/age levels. The unified school districts are districts that provide education to children of all school ages. In general, where there is a unified school district, no elementary or secondary school district exists (see exceptions described below), and where there is an elementary school district the secondary school district may or may not exist (see explanation below). \"The U.S. Census Bureau\'s Small Area Income and Poverty Estimates (SAIPE) program provides annual estimates of income and poverty statistics for all school districts, counties, and states. The main objective of this program is to provide estimates of income and poverty for the administration of federal programs and the allocation of federal funds to local jurisdictions. In addition to these federal programs, state and local programs use the income and poverty estimates for distributing funds and managing programs. \"The SAIPE program produces the following county and state estimates: Total number of people in poverty. Number of childer under age 5 in poevery (for states only). Number of related children ages 5 to 17 in families in poverty. Number of children under age 18 in poverty. Median household income.\""|"http://maps.indiana.edu/download/Demographics/Population_Children_Poverty_2013.zip"|""|"http://maps.indiana.edu/layerGallery.html?category=Population"|"http://maps.indiana.edu/arcgis/rest/services/Demographics/Population_Children_Poverty_2013/MapServer/0"|""|
