"schema"|"uuid"|"id"|"gmd:title"|"gmd:abstract"|"link_download"
"iso19139"|"AEF25AED-0699-4B4D-9232-4BF9F86167A3"|"15279"|"Fire Occurence: Wisconsin, 1982-2008"|"The approximate location of each fire recorded in DNR fire reports during the years 1982 through 2008."|"https://gisdata.wisc.edu/public/WI_FireOccurance_2008.zip"|
"iso19139"|"70A82244-B65F-466F-8C23-65BE4DBADFE5"|"15276"|"Forest Fire Response Units: Wisconsin, 2013"|"Fire Response Units (FRUs) designated by the DNR Forest Protection Bureau. A FRU is the area and equipment for which the personnel at a ranger station are responsible. FRU names are based on the location of the ranger station. The polygon attributes in this layer also identify Dispatch Group and Protection Type of each FRU."|"https://gisdata.wisc.edu/public/WI_ForestFireResponse_2013.zip"|
"iso19139"|"500B839E-A11D-4EBB-A63E-BE429C066436"|"15277"|"Forest Fire Protection Areas: Wisconsin, 2008"|"Areas designated in an effort to divide the responsibility of fire suppression within the state. The intensive and extensive areas are at a higher natural risk for fires and the DNR has the statutory responsibility for fire suppression. The distinctions between intensive and extensive areas are defined in Administrative code (NR30)."|"https://gisdata.wisc.edu/public/WI_FireProtectionAreas_2008.zip"|
"iso19139"|"5B255319-285B-406D-A8C0-D5CE478CDC9F"|"15274"|"Forest Tax Law Areas: Wisconsin, 2015"|"Dissolved Tax Law polygon is a generalized representation of lands enrolled in the Managed Forest and Forest Crop Law Programs, collectively referred to as Tax Law layers, and dissolved by taxlaw and access type (open, closed, both). Property is located by each 40-acre quarter-quarter section in which land is enrolled. Acreage enrolled from fractional or government lots are located either to the most approximate QQ, Q or S as possible. (Enrolled parcels are represented by the PLSS shape they lie within, however, the actual size of the enrolled property may be as small as 10 acres.)"|""|
"iso19139"|"5C76B361-2720-4E00-B83C-908D2C00C83E"|"15275"|"Hydrography (1:24,000): Wisconsin, 2015"|"Wisconsin Department of Natural Resources1;24,000 scale hydrography (statewide) consists of a series of features including: (1) Natural bounding lines of hydro waterbody features; (2)Linear features representing streams, rivers and artificial flow through water; (3) Linear features representing streams, rivers and artificial flow through water that have been assigned a Waterbody Identification Code - WBIC; (4) Junction point features used to establish point attributes on a network; (5)Linear features including channel in water, original water course, fish hatchery walls, etc.; (6) Hydrological Point data such as springs, etc.; (7) Water features such as Lakes, Reservoirs, Wide Streams and River, and Unspecified Open Water features.; (8) Water features such as Lakes, Reservoirs, Wide Streams and River, and Unspecified Open Water features that have been assigned a Waterbody Identification Code - WBIC."|"https://gisdata.wisc.edu/public/WI_Hydro24K_2015.zip"|
"iso19139"|"066FBA03-039E-4195-A42A-8CE5A184AF39"|"15272"|"Forest Tax Law Points: Wisconsin, 2015"|"Tax Law POINT is a generalized point representation of lands enrolled in the Managed Forest and Forest Crop Law Programs, collectively referred to as Tax Law Layers. Points are located at the center point of each 40-acre quarter-quarter section in which land is enrolled. Acreage enrolled from fractional or government lots are located either to the most approximate QQ, Q or S as possible. (Enrolled parcels are represented by the PLSS shape they lie within; however, the actual size of the enrolled property may be as small as 10 acres.)"|"https://gisdata.wisc.edu/public/WI_ForestTax_Points_2015.zip"|
"iso19139"|"29EB70CA-0B6F-47B8-B562-127161A6C0B7"|"15273"|"Land Type Associations: Wisconsin, 2003"|"Land Type Associations (LTAs) of Wisconsin represent a further definition of the National Hierarchical Framework of Ecological Units (NHFEU). The NHFEU is an ecological classification system that divides landscapes into ecologically significant regions at multiple scales. Ecological types are classified and units are mapped based on the associations of biotic and environmental factors which include climate, physiography, water, soils, air, hyydrology, and potential natural communities."|""|
"iso19139"|"DD73C959-3043-46F3-818F-6B211A56A177"|"15270"|"National Forests: Wisconsin, 2012"|"This version of US Forest Service \"Basic Ownership\" data for the Chequamegon-Nicolet National Forest (CNNF) was obtained from CNNF staff on November 13, 2012. Ownership boundaries reflect USFS updates from May, 2012. Basic Ownership delineates Forest Service lands from non-Forest Service lands but contains no additional attributes. Contact the USFS CNNF office for more detailed information on Forest Service lands. USFS CNNF GIS Contacts:Deborah Veen, GIS Specialist,Chequamegon-Nicolet National Forest, Rhinelander, WI, (715) 362-1352Marcus Sadak, GIS Coordinator, Chequamegon-Nicolet National Forest, 500 Hanson Lake Rd., Rhinelander, WI 54501, (715) 362-1356"|"https://gisdata.wisc.edu/public/WI_NationalForests_2012.zip"|
"iso19139"|"807C5635-4C83-490E-A674-007A6F37294A"|"15271"|"PLSS Quarter-Sections (Landnet): Wisconsin, 1996"|"This data set is a polygon shapefile representing Public Land Survey System (PLSS) quarter-sections. The data are a subset of the Wisconsin DNR's 'Landnet' database, automated from 1:24,000-scale sources."|"https://gisdata.wisc.edu/public/WI_PLSSQQSections_1996.zip"|
"iso19139"|"D53956D4-8666-4BF0-B0E1-89624521305D"|"15268"|"State Forest Invasive Plant Survey: Wisconsin, 2006-2007"|"During the 2006 and 2007 field seasons the Wisconsin Department of Natural Resources Division of Forestry coordinated a survey of invasive plant species on priority sites in Wisconsin's northern State Forests (Black River SF, Brule River SF, Coulee Experimental SF, Flambeau River SF, Governor Knowles SF, Northern Highland-American Legion SF, and Peshtigo River SF) for the purpose of collecting information on the ecology of invasive plants, mapping the current existence and extent of invasive plant infestations within the state forests, establishing a baseline GIS database to aid in the development of invasive plant management goals and objectives, increasing departmental and public awareness of invasive plant issues, and creating support for management and prevention programs. Each State Forest identified a list of priority search areas for invasive plant surveys using maps and forest staff input. Priority areas include corridors along roads and trails, homesteads, boat landings, river ways, timber sales, gravel pits, recreational sites and campgrounds."|"https://gisdata.wisc.edu/public/WI_StForest_Invasives_2008.zip"|
