schema,uuid,id,gmd:title,gmd:MD_Metadata,originator,publisher,keywords_theme,link_no_protocol,keywords_place,link_information,link_download,link_service_esri,link_invalid_protocol,link_service_wms
iso19139,c419af86-8cc2-4b09-a5e8-66ab4f5bbfb4,14638,"COAL_DANVILLE_ELEVATION_IN: Elevation Ranges of the Danville Coal Member (Dugger Formation, Pennsylvanian) in West-Central Indiana (Indiana Geological Survey, 1:126,720, Polygon Shapefile)","From 1985 to 1994, a series of reports on coal resources of selected counties in Indiana was published as part of the Special Report series of the Indiana Geological Survey. These reports included maps showing elevation of the Danville Coal Member (Dugger Formation, Pennsylvanian). The elevation maps were based on coal-test records and interpretations of geophysical logs that are included in the files of the Indiana Geological Survey. Data points were plotted by coal geologists of the Indiana Geological Survey and elevation contours were drawn by hand. The original work maps were compiled at a scale of 0.5 inch = 1 mile (scale, 1:126,720). Following completion of the investigations, the work maps showing elevation contours were subsequently scanned and digitized, and the resulting county coverages were then compiled into a single multicounty coverage. Elevations are given in feet, and the contour interval is 20 feet. Since the completion of this shapefile, additional data on coalbed elevations in selected areas has been obtained by the Indiana Geological Survey; interested users may wish to contact the Indiana Geological Survey for information on these more up-to-date sources.",Indiana Geological Survey###Denver Harper,Indiana Geological Survey,geoscientificInformation,http://maps.indiana.edu/download/Geology/Coal_Elevation_Danville.zip###http://maps.indiana.edu/arcgis/rest/services/Geology/Coal_Elevation_Danville/MapServer/export,,,,,,
iso19139,b12775e1-0423-49e8-83f5-804eae4b51be,13563,"COAL_MINE_ENTRIES_IN: Underground Coal Mine Entrances in Indiana (Indiana Geological Survey, 1:24,000, Point Shapefile)","SW_COAL_ENTRY, the predecessor of COAL_MINE_ENTRIES_IN, is a point- based ESRI ArcView shapefile that shows the locations of underground coal mine entrances in the coal region of Indiana. SW_COAL_ENTRY includes entrance locations of underground mines that operated in Indiana since the mid-1800s. COAL_MINE_ENTRIES_IN is attributed to allow the mine entrances to be differentiated based on entrance type (hoist shaft, other shafts, slope, unknown), depth, mine number, source information (map number), and azimuth (a numeric value between 0 and 360 used in ArcView GIS version 3.2, with the symbol used by COAL_MINE_ENTRIES_IN.avl, to rotate the slope entrance symbols to the approximate orientation of the actual mine entrances).",Becky Meyer (Data compiler)###Licia Weber (Data compiler)###Nathan Eaton (GIS compiler)###Indiana Geological Survey###Paul Irwin (GIS compiler),Indiana Geological Survey,geoscientificInformation###economy###hoist shaft###shaft###mine entry###coal mine###Indiana Geological Survey###deep mine###coal###mining###economic geology###energy resources###slope###mine entrance###IGS###underground mine,http://maps.indiana.edu/arcgis/rest/services/Geology/Coal_Mines_Entries/MapServer/export###http://maps.indiana.edu/download/Geology/Coal_Mines_Entries.zip,Vermillion County###Posey County###Greene County###Pike County###Monroe County###Indiana###Warren County###Spencer County###Martin County###Warrick County###Gibson County###Vigo County###Owen County###Knox County###Sullivan County###Daviess County###Vanderburgh County###Illinois Basin###Fountain County###Clay County###Perry County###Dubois County###Parke County,,,,,
iso19139,59484b00-b81c-4c2a-af80-9cd7a6898a4a,14121,"COAL_AVAILABILITY_DANVILLE_IN_DEPTH: Depth to the Danville Coal Member (Dugger Formation, Pennsylvanian System), Derived from Coal Availability Investigations (Indiana Geological Survey, Polygon Shapefile)","COAL_AVAILABILITY_DANVILLE_IN_DEPTH is a polygon shapefile giving depth (in feet) to the top of the Danville Coal Member in Indiana. COAL_AVAILABILITY_DANVILLE_IN_DEPTH was extracted from COAL_AVAILABILITY_DANVILLE_IN. COAL_AVAILABILITY_DANVILLE_IN identifies those resources of the Danville Coal Member in Indiana which have favorable geologic and land use characteristics for surface and underground mining, as well as those which have unfavorable geologic and land use characteristics for surface and underground mining. In addition, COAL_AVAILABILITY_DANVILLE_IN describes the geology of the Danville Coal, including coal thickness, coal depth, and stripping ratio.",Indiana Geological Survey###Carol L. Conolly,Indiana Geological Survey,geoscientificInformation,http://maps.indiana.edu/arcgis/rest/services/Geology/Coal_Depth_Danville/MapServer/export###http://maps.indiana.edu/download/Geology/Coal_Depth_Danville.zip,,,,,,
iso19139,ebd02dde-723e-4e44-9662-32a0d3f701f7,10954,"COAL_AVAILABILITY_DANVILLE_IN_THICKNESS: Thickness of the Danville Coal Member (Dugger Formation, Pennsylvanian System), Derived from Coal Availability Investigations (Indiana Geological Survey, Polygon Shapefile)","COAL_AVAILABILITY_DANVILLE_IN_THICKNESS is a polygon shapefile giving thickness (in feet) of the Danville Coal Member in Indiana. COAL_AVAILABILITY_DANVILLE_IN_THICKNESS was extracted from COAL_AVAILABILITY_DANVILLE_IN. COAL_AVAILABILITY_DANVILLE_IN identifies those resources of the Danville Coal Member in Indiana which have favorable geologic and land use characteristics for surface and underground mining, as well as those which have unfavorable geologic and land use characteristics for surface and underground mining. In addition, COAL_AVAILABILITY_DANVILLE_IN describes the geology of the Danville Coal, including coal thickness, coal depth, and stripping ratio.",Indiana Geological Survey###Carol L. Conolly,Indiana Geological Survey,geoscientificInformation,http://maps.indiana.edu/download/Geology/Coal_Thickness_Danville_Availability.zip###http://maps.indiana.edu/arcgis/rest/services/Geology/Coal_Thickness_Danville_Availability/MapServer/export,,,,,,
iso19139,dcda87f7-81f8-42cc-b86c-11b640f2c552,10047,"STRUCTURAL_FEATURES_IN: Structural Features of Indiana (Indiana Geological Survey, Line Shapefile)","STRUCTURAL_FEATURES_IN.SHP is a line shapefile that shows the location of known structural features in Indiana. Attributes include the name of the feature (as listed on the paper source maps), a citation to which paper source source map contained the feature, as well as an indicatior of structural movement of each feature. The paper source maps used to construct these data have scales that range from 1:12,000 to 1:500,000 (only one fault trace) with the majority being taken from sources with a scale of 1:63,360 or larger.",Indiana Geological Survey,Indiana Geological Survey,geoscientificInformation###fault###disturbance###structural feature###fault zone###anticline###Indiana Geological Survey (IGS),http://maps.indiana.edu/arcgis/rest/services/Geology/Bedrock_Structural_Features/MapServer/export###http://maps.indiana.edu/download/Geology/Bedrock_Structural_Features.zip,Benton County###Kosciusko County###Posey County###Morgan County###Monroe County###Indiana###Spencer County###Hancock County###Martin County###Hamilton County###Gibson County###Allen County###Marion County###White County###Howard County###Cass County###Fulton County###Marshall County###Floyd County###Vanderburgh County###Newton County###Tipton County###Perry County###Madison County###Washington County###Jackson County###Harrison County###Dubois County###Lawrence County,,,,,
iso19139,7f318e69-e5b7-41f7-8e1a-37e65fd55db7,10830,"BEDROCK_TOPOGRAPHY_MM36_IN: Bedrock Topography Contours, Indiana (Indiana Geological Survey, 1:500,000, Line Shapefile)","Bedrock topography was converted from the original published map, Indiana Geological Survey Miscellaneous Map 36. The contours define the elevation/topography of the bedrock surface in Indiana.","David A. Held (digital compiler)###Indiana Geological Survey###Henry H. Gray (author, compiler)###Chris Dintaman (digital compiler)###Kimberly H. Sowder (digital compiler)",Indiana Geological Survey (IGS),elevation###bedrock topography###Indiana Geological Survey (IGS)###geology###geoscientificInformation,http://maps.indiana.edu/arcgis/rest/services/Geology/Bedrock_Elevation/MapServer/export###http://maps.indiana.edu/download/Geology/Bedrock_Elevation.zip,Vermillion County###Benton County###Kosciusko County###Jennings County###White County###Union County###Posey County###Whitley County###Franklin County###Greene County###Pike County###Wayne County###Morgan County###Jay County###Monroe County###Bartholomew County###Lagrange County###Indiana###Montgomery County###Ripley County###Pulaski County###Shelby County###Warren County###Decatur County###Spencer County###Rush County###Hancock County###Martin County###Warrick County###Steuben County###Hamilton County###Gibson County###Vigo County###Owen County###St Joseph County###Knox County###Miami County###Clark County###Dearborn County###Allen County###DeKalb County###Marion County###Johnson County###Huntington County###Adams County###Randolph County###Howard County###Ohio County###Cass County###Tippecanoe County###Fulton County###Elkhart County###Jasper County###Switzerland County###Sullivan County###Wabash County###Orange County###Daviess County###Putnam County###Marshall County###Clinton County###Delaware County###Jefferson County###Scott County###Carroll County###LaPorte County###Porter County###Hendricks County###Floyd County###Vanderburgh County###Henry County###Brown County###Newton County###Tipton County###Fountain County###Blackford County###Clay County###Perry County###Madison County###Washington County###Jackson County###Lake County###Harrison County###Starke County###Dubois County###Boone County###Noble County###Crawford County###Lawrence County###Wells County###Fayette County###Parke County###Grant County,,,,,
iso19139,d77a0bea-de75-4f62-b629-13db14ecca62,10685,"BEDROCK_GEOLOGY_RGM_250K_IN: Bedrock geology of Indiana, from the Regional Geologic Map Series of the Indiana Geological Survey (Indiana Geological Survey, 1:250,000, Polygon Shapefile)","BEDROCK_GEOL_RGM_IN is a polygon shapefile that shows the bedrock geology of the state of Indiana, produced from the Indiana Geological Survey Regional Geologic Map series, which was mapped at a scale of 1:250,000. The mapped stratigraphic units include selected systems, groups, and formations. Additional attributes were included from derivative products of the ""Compendium of Paleozoic rock-unit stratigraphy in Indianaa revision: Indiana Geological Survey Bulletin 59 (1986)."" The names of some groups, formations, and members on some of the maps have been updated to reflect the most recent nomenclature.",N.K. Bleuer (compiler)###W.J. Wayne (compiler)###R.S. Nicoll (compiler)###A.M. Burger (compiler)###A.M. Gooding (compiler)###J.L. Forsyth (compiler)###H.H. Gray (compiler)###G.H. Johnson (compiler)###A.F. Schneider (compiler)###Indiana Geological Survey###J.A. Lineback (compiler)###S.J. Keller (compiler)###C.E. Wier (compiler)###J.R. Hill (compiler)###A.R. Gustin (digital compiler),Indiana Geological Survey,geoscientificInformation###cartography###geologic map###bedrock###formation###Indiana Geological Survey (IGS)###geologic mapping###geology###system###stratigraphic unit###group###Regional Geologic Map###stratigraphy,http://maps.indiana.edu/download/Geology/Bedrock_Geology_RGM_250K.zip###http://maps.indiana.edu/arcgis/rest/services/Geology/Bedrock_Geology_RGM_250K/MapServer/export,Vermillion County###Benton County###Kosciusko County###Jennings County###White County###Union County###Posey County###Whitley County###Franklin County###Greene County###Pike County###Wayne County###Morgan County###Jay County###Monroe County###Bartholomew County###Lagrange County###Indiana###Montgomery County###Ripley County###Pulaski County###Shelby County###Warren County###Decatur County###Spencer County###Rush County###Hancock County###Martin County###Warrick County###Steuben County###Hamilton County###Gibson County###Vigo County###Owen County###St Joseph County###Knox County###Miami County###Clark County###Dearborn County###Allen County###Marion County###Johnson County###Huntington County###Adams County###Randolph County###Howard County###Ohio County###Cass County###Tippecanoe County###Fulton County###Elkhart County###Jasper County###Switzerland County###Sullivan County###Wabash County###Orange County###Daviess County###Putnam County###Marshall County###Clinton County###Delaware County###Jefferson County###Scott County###Carroll County###LaPorte County###Porter County###Hendricks County###Floyd County###Vanderburgh County###Henry County###Brown County###Newton County###Dekalb County###Tipton County###Fountain County###Blackford County###Clay County###Perry County###Madison County###Washington County###Jackson County###Lake County###Harrison County###Starke County###Dubois County###Boone County###Noble County###Crawford County###Lawrence County###Wells County###Fayette County###Parke County###Grant County,,,,,
iso19139,24bde658-53ff-41a7-9c62-15c5204a497c,14636,"BEDROCK_GEOL_MM48_IN: Bedrock Geology of Indiana (Indiana Geological Survey, 1:500,000, Polygon Shapefile)","BEDROCK_GEOL_MM48_IN is a polygon shapefile that shows bedrock geology of the state of Indiana at a scale of 1:500,000. The mapped stratigraphic units include systems and selected groups, formations, and other stratigraphic units.",Denver Harper (GIS compiler)###Curt Ault (Data compiler)###Stan Keller (Data compiler)###Indiana Geological Survey###H. H. Gray (Data compiler),Indiana Geological Survey,geoscientificInformation###geology###Indiana Geological Survey###geologic map###bedrock###geologic mapping###IGS###stratigraphy,http://maps.indiana.edu/arcgis/rest/services/Geology/Bedrock_Geology/MapServer/export###http://maps.indiana.edu/download/Geology/Bedrock_Geology.zip,Vermillion County###Benton County###Kosciusko County###Jennings County###White County###Union County###Posey County###Whitley County###Franklin County###Greene County###Pike County###Wayne County###Morgan County###Jay County###Monroe County###Bartholomew County###Lagrange County###Indiana###Montgomery County###Ripley County###Pulaski County###Shelby County###Warren County###Decatur County###Spencer County###Rush County###Hancock County###Martin County###Warrick County###Steuben County###Hamilton County###Gibson County###Vigo County###Owen County###St Joseph County###Knox County###Miami County###Clark County###Dearborn County###Allen County###Marion County###Johnson County###Huntington County###Adams County###Randolph County###Howard County###Ohio County###Cass County###Tippecanoe County###Fulton County###Elkhart County###Jasper County###Switzerland County###Sullivan County###Wabash County###Orange County###Daviess County###Putnam County###Marshall County###Clinton County###Delaware County###Jefferson County###Scott County###Carroll County###LaPorte County###Porter County###Hendricks County###Floyd County###Vanderburgh County###Henry County###Brown County###Newton County###Dekalb County###Tipton County###Fountain County###Blackford County###Clay County###Perry County###Madison County###Washington County###Jackson County###Lake County###Harrison County###Starke County###Dubois County###Boone County###Noble County###Crawford County###Lawrence County###Wells County###Fayette County###Parke County###Grant County,,,,,
iso19139,780e1232-b5b1-49e1-b665-8fcbd9e309c0,13256,"COAL_AVAILABILITY_SPRINGFIELD_IN_DEPTH: Depth to the Springfield Coal Member (Carbondale Formation, Pennsylvanian System), Derived from Coal Availability Investigations (Indiana Geological Survey, Polygon Shapefile)","COAL_AVAILABILITY_SPRINGFIELD_IN_DEPTH is a polygon shapefile giving depth (in feet) to the top of the Springfield Coal Member in Indiana. COAL_AVAILABILITY_SPRINGFIELD_IN_DEPTH was extracted from COAL_AVAILABILITY_SPRINGFIELD_IN. COAL_AVAILABILITY_SPRINGFIELD_IN identifies those resources of the Springfield Coal Member in Indiana which have favorable geologic and land use characteristics for surface and underground mining, as well as those which have unfavorable geologic and land use characteristics for surface and underground mining.",Indiana Geological Survey###Carol L. Conolly,Indiana Geological Survey,geoscientificInformation,http://maps.indiana.edu/arcgis/rest/services/Geology/Coal_Depth_Springfield/MapServer/export###http://maps.indiana.edu/download/Geology/Coal_Depth_Springfield.zip,,,,,,
iso19139,fafc2254-1095-4ec7-b001-b1f24903b947,15175,"INDIANA_SENATE_119GA_IED: Indiana Senate Districts for the 119th General Assembly (Indiana Election Division, Polygon Shapefile)",This dataset shows the boundaries of Indiana Senate Districts for the 119th General Assembly and provides the names and party affiliations of the legislators.,Indiana Election Division###Indiana Geological Survey###Lori Hershberger-Clark (Data provider)###Chris Dintaman (digital compiler),Indiana Election Division,boundaries###Indiana General Assembly###Senate###Legislator###Legislative district###Indiana Election Division (IED)###119th General Assembly###Indiana Geological Survey (IGS),http://maps.indiana.edu/download/Government/General_Assembly_119th_Senate.zip###http://maps.indiana.edu/arcgis/rest/services/Government/General_Assembly_119th_Senate/MapServer/export,Vermillion County###Benton County###Kosciusko County###Jennings County###White County###Union County###Posey County###Whitley County###Franklin County###Greene County###Pike County###Wayne County###Morgan County###Jay County###Monroe County###Bartholomew County###Lagrange County###Indiana###Montgomery County###Ripley County###Pulaski County###Shelby County###Warren County###Decatur County###Spencer County###Rush County###Hancock County###Martin County###Warrick County###Steuben County###Hamilton County###Gibson County###Vigo County###Owen County###St Joseph County###Knox County###Miami County###Clark County###Dearborn County###Allen County###Marion County###Johnson County###Huntington County###Adams County###Randolph County###Howard County###Ohio County###Cass County###Tippecanoe County###Fulton County###Elkhart County###Jasper County###Switzerland County###Sullivan County###Wabash County###Orange County###Daviess County###Putnam County###Marshall County###Clinton County###Delaware County###Jefferson County###Scott County###Carroll County###LaPorte County###Porter County###Hendricks County###Floyd County###Vanderburgh County###Henry County###Brown County###Newton County###Dekalb County###Tipton County###Fountain County###Blackford County###Clay County###Perry County###Madison County###Washington County###Jackson County###Lake County###Harrison County###Starke County###Dubois County###Boone County###Noble County###Crawford County###Lawrence County###Wells County###Fayette County###Parke County###Grant County,,,,,
