schema,uuid,id,title,NEW_title,abstract,keyword,link
dublin-core,oai:lib.umd.edu:1903.1/12529,51077,"New annd Accurate Map of Virginia and Maryland, 1752",testing,"Map showing the states Maryland and Virginia, 1752.",1851-1860###United States of America###Maryland###Virginia###Chesapeake Bay###historical maps,http://hdl.handle.net/1903.1/12529
dublin-core,oai:lib.umd.edu:1903.1/12541,51080,"Baltimore, 1838",TESTING!!,"Map of Baltimore, Maryland, 1838.",1831-1840###United States of America###Maryland###Baltimore###historical maps,http://hdl.handle.net/1903.1/12541
dublin-core,oai:lib.umd.edu:1903.1/12528,51075,"Maryland [and] Western Part of Maryland, circa 1804",testing row move,"Map showing the Western portion of the state of Maryland, circa 1804.",1801-1810###United States of America###Maryland###Chesapeake Bay###historical maps,http://hdl.handle.net/1903.1/12528
dublin-core,oai:lib.umd.edu:1903.1/12536,51084,"Maryland: Baltimore Quadrangle, 1892",I like,"Map of Baltimore, Maryland, 1892.",1891-1900###United States of America###Maryland###Baltimore###quadrangle maps,http://hdl.handle.net/1903.1/12536
dublin-core,oai:lib.umd.edu:1903.1/12537,51085,"Baltimore Showing the District Boundaries, undated",to move,"Map showing electoral districts for Baltimore, Maryland, undated.",1801-1900###United States of America###Maryland###Baltimore###historical maps,http://hdl.handle.net/1903.1/12537
dublin-core,oai:lib.umd.edu:1903.1/12538,51087,"Map of the City and Suburbs of Baltimore, 1853",it move it,"Map of the city of Baltimore and surrounding areas, 1853.",1851-1860###United States of America###Maryland###Baltimore###historical maps,http://hdl.handle.net/1903.1/12538
dublin-core,oai:lib.umd.edu:1903.1/12539,51088,"Plan of the City and Environs of Baltimore, 1801",spam,"Map showing city layout and geographic features of Baltimore, Maryland, 1801.",1801-1810###United States of America###Maryland###Baltimore###historical maps,http://hdl.handle.net/1903.1/12539
dublin-core,oai:lib.umd.edu:1903.1/12550,51089,"The Plan for Improvement of the Channel of Jones Falls, 1870",SPAM,"Map showing Jones Falls channel and drainage of the adjacent portions of the city, 1870.",1861-1870###United States of America###Maryland###Baltimore###historical maps,http://hdl.handle.net/1903.1/12550
dublin-core,oai:lib.umd.edu:1903.1/12572,51090,"F. Klemm's Map of Baltimore and Suburbs, 1873",asdfasdf,"Map showing Baltimore, Maryland, and suburbs, 1873.",1871-1880###North America###United States of America###Maryland###Baltimore,http://hdl.handle.net/1903.1/12572
dublin-core,oai:lib.umd.edu:1903.1/12551,51091,"Nova Virginiae Tabula, 1635",lovely Spam,"Map showing Virginia and surrounding areas, 1635.",1631-1640###North America###United States of America###Virginia###Chesapeake Bay###historical maps,http://hdl.handle.net/1903.1/12551
dublin-core,oai:lib.umd.edu:1903.1/12552,51092,"Nova Virginiae Tabula, 1636",a,"Map showing Virginia and surrounding areas, 1636.",1631-1640###United States of America###Virginia###Chesapeake Bay###historical maps,http://hdl.handle.net/1903.1/12552
dublin-core,oai:lib.umd.edu:1903.1/12530,51093,"America pars, Virginia dicta, 1590",b,"Map showing Virginia and surrounding areas, 1590. First map to show and name the Chesapeake Bay.",1581-1590###United States of America###Virginia###Cape Fear###Chesapeake Bay###historical maps,http://hdl.handle.net/1903.1/12530
dublin-core,oai:lib.umd.edu:1903.1/12553,51094,"A New Map of Virginia, Maryland and the Improved Parts of Pennsylvania and New Jersey, 1719",asdfasdf,"Map of Maryland, Virginia, and surrounding areas, 1719.",1911-1920###United States of America###Maryland###Virginia###New Jersey###Pennsylvania###Chesapeake Bay###historical maps,http://hdl.handle.net/1903.1/12553
dublin-core,oai:lib.umd.edu:1903.1/12554,51095,"Carte de la Virginia et du Maryland, 1757",c,"Map of Maryland and Virginia, 1757.",1751-1760###United States of America###Virginia###Maryland###Chesapeake Bay###historical maps,http://hdl.handle.net/1903.1/12554
dublin-core,oai:lib.umd.edu:1903.1/12532,51096,"Nova-terrae-Maria tabulae, circa 1671",d,"Map showing parts of Maryland. The earliest map featuring the counties of Maryland, circa 1671.",1671-1680###United States of America###Maryland###Chesapeake Bay###historical maps,http://hdl.handle.net/1903.1/12532
dublin-core,oai:lib.umd.edu:1903.1/12525,51069,"Map of the States of Maryland and Delaware, circa 1796",ffjdfdjf,"Map showing the states of Maryland and Delaware, with parts of Pennsylvania.",1791-1800###United States of America###Maryland###Pennsylvania###Delaware###Chesapeake Bay###historical maps,http://hdl.handle.net/1903.1/12525
