schema,uuid,id,gmd:title,gmd:abstract,keywords_place,link_download,link_service_esri,link_information,keywords_theme,keywords_theme,keywords_theme,keywords_theme,keywords_theme,keywords_theme,keywords_theme,keywords_theme,keywords_theme,keywords_theme
iso19139,ffbbd8e2-7702-4996-8f49-33eb4c77e52c,583050,2013 MDOT Traffic Volumes,"The Annual Average Daily Traffic (AADT) is the estimated mean daily traffic volume and the Commercial Annual Average Daily Traffic (CAADT) is the estimated mean daily traffic volume for commercial vehicles. Data Dictionary Data Quality: For continuous sites, estimates are calculated by summing the Annual Average Days of the Week and dividing by seven. For short-count sites, estimates are made by factoring a short count using seasonal and day-of-week adjustment factors. Data Coverage: The dataset covers the entire State of Michigan (state-owned) Trunkline system. Update Cycle: AADT & CAADT volumes are created and released every year. Contact: Kevin Krzeminski",{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_7.zip,https://services2.arcgis.com/67lKNkQ2TO1I3lhR/arcgis/rest/services/mdot_traffic_volumes_archive/FeatureServer/7,http://gis.michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_7,mi,michigan,mdot,transportation,traffic,volume,caadt,aadt,roadway,open data
iso19139,647d5185-8c5e-4da5-a424-4a24a3148ba0,583056,Michigan Forest Stand Treatments,There is no description available.,{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/b826e866a5b5435a858d46e730164b49_3.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestry/MapServer/3,http://gis.michigan.opendata.arcgis.com/datasets/b826e866a5b5435a858d46e730164b49_3,dnr,forestry,forest inventory,forest stand,treatment,,,,,
iso19139,1f8bab7d-fdbd-4ea3-8133-3a5ad4e93b70,583059,MDOT Guardrail,"This data represents MDOT owned and maintained guardrail collected using a handheld GPS unit. Full limits of guardrail were inventoried along trunkline, including within medians and ramps. On Local Roads over / under trunkline, the inventory is limited to no more than 200 feet from the bridge railing end / from the pier or abutment, respectfully. Please see the MDOT Metadata Form for additional information. Update Cycle: The last statewide guardrail update was completed in 2006. Region-wide updates have occurred in both Southwest Region and University Region in 2015. Updates are added as they become available. Data Quality: This data set is in production and is accessed through desktop GIS, map services, and feature services. Data was collected by region using Trimble GEO XT and other similar units. Coverage: This inventory was collected to over 95% competition in 2006. Any assets added, removed, or changed since then may not be part of this inventory. Symbology: The preferred symbology for this asset in a map service is a line of width \\3\\"" and an RGB color of \\""0,92,230\\"". Contact: Kevin McKnight, mcknightk@michigan.gov""",{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/a61e2b1670b74c67b920a90c0b92cef0_8.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/MDOT/mdot_assets/MapServer/8,http://gis.michigan.opendata.arcgis.com/datasets/a61e2b1670b74c67b920a90c0b92cef0_8,mi,michigan,mdot,transportation,assets,guardrail,cable,,,
iso19139,44d4a1cc-e1a3-4419-b97c-f84d217af4b0,583064,Base Flow of Michigan Streams,"This data set provides estimates of the ground-water contribution to stream flow, frequently referred to as base flow, in cubic feet per second. The baseflow of a stream or river is the amount of groundwater discharged from an aquifer to the watercourse. This discharge occurs year-round, and fluctuates seasonally depending on the level of the water in the aquifer. Baseflow is supplemented by direct runoff during and immediately after precipitation or melt events, resulting in peaks on a hydrograph showing stream flow through time. The process of dividing these peaks into base flow and runoff is called hydrograph separation. Hydrograph separations were completed for all USGS stream- flow gaging stations in Michigan that had more than 10 years of daily records. Sites that were clearly affected by upstream impoundments (lakes, dams) were excluded. No attempt was made to detect or correct for trends in the data. This may lead to some errors in the comparison of streams with data from different time periods if there is an underlying temporal trend in the data, but inclusion of all records in the analysis was necessary to increase the data pool and provide better spatial coverage. Watersheds were delineated for each of the 208 stream-flow gaging stations, and various characteristics of each watershed, such as topographic relief, surficial geology, land cover, growing degree days, annual and winter-season precipitation, and others were tabulated. Regression modeling, described in the Technical Report, was used to estimate the baseflow for each steam segment of the 1:100,000-scale National Hydrography Dataset. More Metadata",{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/e8e263ecfc634c56ac89adefd4a21454_3.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/OpenData/hydro/MapServer/3,http://gis.michigan.opendata.arcgis.com/datasets/e8e263ecfc634c56ac89adefd4a21454_3,michigan,hydro,groundwater,,,,,,,
iso19139,112034f4-0c9c-4032-93ae-57b9d83c7cb6,583058,Metropolitan Planning Organizations (MPO),Metropolitan Planning Organizations (MPO) are boundaries that define specific urbanized areas along with adjacent municipalities that are accepted into the MPO. MPOs serve as localized areas for transportation planning and forecasting traffic demand models. Please see the MDOT Metadata Form for additional information. Update Cycle: The MPO boundaries are updated every census release. They were last updated after the 2010 census. Coverage: This layer is complete in its coverage of all State of Michigan Metropolitan Planning Organizations. Contact: Pam Boyd & John Lanum,{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/f0b0a3c3aee64cff9908f138de9390b8_5.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/MDOT/mdot_boundaries/MapServer/5,http://gis.michigan.opendata.arcgis.com/datasets/f0b0a3c3aee64cff9908f138de9390b8_5,mi,michigan,mdot,transportation,open data,metropolitan,planning,boundary,,
iso19139,f7c62031-edcd-4105-8517-0114b628e9d1,583063,2011 MDOT Traffic Volumes,"The Annual Average Daily Traffic (AADT) is the estimated mean daily traffic volume and the Commercial Annual Average Daily Traffic (CAADT) is the estimated mean daily traffic volume for commercial vehicles. Data Dictionary Data Quality: For continuous sites, estimates are calculated by summing the Annual Average Days of the Week and dividing by seven. For short-count sites, estimates are made by factoring a short count using seasonal and day-of-week adjustment factors. Data Coverage: The dataset covers the entire State of Michigan (state-owned) Trunkline system. Update Cycle: AADT & CAADT volumes are created and released every year. Contact: Kevin Krzeminski",{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_5.zip,https://services2.arcgis.com/67lKNkQ2TO1I3lhR/arcgis/rest/services/mdot_traffic_volumes_archive/FeatureServer/5,http://gis.michigan.opendata.arcgis.com/datasets/2bcfd62c243e462ea4ff040f8581fe5f_5,mi,michigan,mdot,transportation,traffic,volume,caadt,aadt,roadway,open data
iso19139,abd29bde-4577-4f35-b9ee-ae662cf04a89,583062,Ash Host Species 2015,Ash Host Species 2015 includes the areas derived from the Aerial Survey analysis completed by the US Forest Service and the Michigan Department of Natural Resources.,{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/08c70007e32a40cca80c5c559bacbbcf_13.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestPlanning/MapServer/13,http://gis.michigan.opendata.arcgis.com/datasets/08c70007e32a40cca80c5c559bacbbcf_13,dnr,forestry,,,,,,,,
iso19139,416bee9c-ae2b-492f-9bdd-c99d1c61daef,583061,Michigan Circa 1800 Presettlement Vegetation Cover,The Circa 1800 Presettlement Vegetation Cover was digitized from the original General Land Office surveyor notes.,{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/73be4465aaf6476f981b3a6cf72465be_34.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestPlanning/MapServer/34,http://gis.michigan.opendata.arcgis.com/datasets/73be4465aaf6476f981b3a6cf72465be_34,dnr,landcover,,,,,,,,
iso19139,e0ba5ba8-6c55-40b6-aa6b-3498eb8be5b1,583060,Aerial Survey 2013 Pattern,There is no description available.,{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/50758a9b1b9c4cde9f0bb2c8156101a7_30.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestry/MapServer/30,http://gis.michigan.opendata.arcgis.com/datasets/50758a9b1b9c4cde9f0bb2c8156101a7_30,dnr,forestry,,,,,,,,
iso19139,b404d49a-605b-464c-9dc6-ea8b6b6bbc1b,583065,Aerial Survey 2015 Pattern,There is no description available.,{geonames_place_name},http://gis.michigan.opendata.arcgis.com/datasets/40b75b1b466c499dbab6aa85853cdb57_42.zip,https://gisago.mcgi.state.mi.us/arcgis/rest/services/DNR/dnrForestry/MapServer/42,http://gis.michigan.opendata.arcgis.com/datasets/40b75b1b466c499dbab6aa85853cdb57_42,dnr,forestry,,,,,,,,
